pdb,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0193965224660324,4144.62568456894,21639.945542142872,24702.91856131218,0.1677787859066959,0.876007646158608,6.377955766613956,0.00021135989419264448,0.9858246695024805,0.5791410746324991,0.09940321378028595
protein,1.125962324523369,4967.093529943047,7726.166860486578,10908.058238134623,0.4553600119751895,0.7082990108611505,4.367815914682301,0.00014259828340081046,0.8903073960683215,0.1904124329059875,0.21955480495580967
protein,1.062779765780075,3063.298980024884,20881.248881975847,22609.699840685895,0.13548605251771245,0.9235526800050782,6.1244806983233,0.0003014895659964526,0.9907792537054697,0.6482991031090516,0.11104925792208348
protein,1.142596337129884,3487.9000309673706,17911.599515197402,19848.75170759232,0.17572389852774561,0.9024043314696741,5.76490804461308,0.0002587242534068248,0.9844394910232983,0.5636158401707488,0.1497800304301883
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9359429095392617,2888.8346219729606,25079.664867384734,26914.109742980065,0.10733532149345744,0.9318407744817269,6.6497755834607,0.0003225663274020568,0.9942228768037357,0.7124675117074738,0.07381206417514721
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.3082882984893682,5008.819659909427,8179.588313206394,10956.908140124953,0.457138053532345,0.7465233995393442,4.41786702887648,0.00014904178034488136,0.8893957499407442,0.18232375311756105,0.29639786525617046
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.999617845043055,4235.1341706044495,17374.92073665053,20275.95366276923,0.2088747213099533,0.8569224918162254,5.809303983313045,0.0002023365629745617,0.9779424066874743,0.49973603455931914,0.10322191484048418
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9720997682653264,4620.570493431042,8119.993577791052,11677.483434429672,0.3956820422290508,0.6953547503094901,4.442747789717122,0.00015049110305709215,0.9183875660403116,0.25057555837012285,0.15442609531948473
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.2556014683141192,3228.1293636535393,23841.600089569623,25146.057889017888,0.12837516631437365,0.9481247595465863,6.486202887819791,0.0002937071761193348,0.991725676119035,0.66533373879029,0.1417354736640546
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1766353715479039,2683.715500560827,21261.96355862875,21936.865468260574,0.12233814828484815,0.9692343507048303,6.080136944887324,0.0003611539116207681,0.9924884772501061,0.6804939120633101,0.1338834829165689
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.7766396627877409,5219.394331066201,12010.96717338953,16502.583534224705,0.3162774071248723,0.7278234434311445,5.213348327949458,0.00013944595814481547,0.9486667495714013,0.3402908293324302,0.08072910415498116
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0603995514899631,2902.969720802935,23535.263053552062,24933.156914299303,0.11643009069333157,0.9439343415054857,6.433543932119467,0.0003251616214737514,0.993198889438134,0.6919044906090753,0.09519626648082939
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.465447560540683,4927.001540801166,8786.06447794445,10856.55934402008,0.453827164267749,0.8092862756545349,4.449271225781502,0.0001642553323664963,0.8910897289121302,0.18002977585516353,0.36434571308821917
protein,1.447943714483539,5309.160672539203,7726.526676375108,9622.074166518734,0.5517688370157364,0.8030001164676706,4.27265783092471,0.00015124803448143172,0.8339970926198134,0.10923020223800119,0.4403545352120669
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9905148326602521,2719.4919395935726,25031.136290167207,26483.477683095214,0.10268636061076916,0.945160472868899,6.610371330795657,0.0003475503858305802,0.994713783630505,0.7239193177981476,0.08483210804110358
protein,1.0828697569609451,4779.415063767074,12161.293451694082,15608.103604783622,0.3062136941673211,0.7791653463888367,5.121028413738122,0.00016302525225225128,0.9519628004835076,0.3466655869764473,0.18026065778188494
protein,0.9870103413902692,5102.637636048991,7574.569728282824,11359.141292139306,0.44920980422878376,0.6668259099413208,4.400721258719299,0.0001306825915346889,0.89342629902233,0.20624032823652683,0.1719932594098079
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.8008513922297535,5452.416462778036,11171.50044839932,16034.017197038955,0.34005305069679903,0.6967374620542625,5.12960551964068,0.00012778507782937602,0.9404062540794803,0.3156415336861483,0.0882360189491258
protein,0.88614579679306,2516.5210928847255,32915.21064935372,34570.0282079336,0.07279488109608194,0.9521314374224285,7.52230038270002,0.0003783522578509311,0.9973469332615442,0.7976113477983533,0.051653208608242525
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1386877288170556,1763.3181601563608,40348.97660142287,40527.93812117485,0.04350870638630073,0.9955842431653716,8.15991021106365,0.0005646083989046475,0.9990530478751319,0.8760878792037904,0.07459490103563618
protein,1.3880872448696078,6114.685296420395,9928.810020031358,13348.31786752727,0.4580865811785706,0.7438248113783221,4.866343969274405,0.0001216456408335136,0.8889075790790226,0.18189133061191315,0.2990095967262049
protein,0.9776389215534784,2085.9309875551307,28281.35053566794,29313.661245602667,0.07115900569629598,0.9647839721798798,6.934377033332499,0.0004625196029666732,0.9974649848031331,0.8021837146931144,0.06972861697391225
protein,0.8309592997666619,5431.769063741481,12476.531234799753,17236.370912120758,0.31513414810085205,0.7238490804364249,5.321319753882123,0.000133262123617941,0.9490471372385832,0.3426850664829968,0.09647252908689107
protein,0.880246274476904,5408.874048587237,11897.693510017883,16517.483086062814,0.32746357422646055,0.7203091081144781,5.2203836608422565,0.00013317172883746818,0.9448638037065614,0.3266391323942144,0.10482611559226392
protein,1.474422941744656,3631.6165680836775,22622.330313122042,23351.77307296175,0.15551780829390668,0.968762853357619,6.322014569204127,0.00026675802227348397,0.9878330887875035,0.6096277482505573,0.19651899374947673
protein,1.2682718290726112,4095.809028678752,31130.986342206794,32880.619413537825,0.1245660544640591,0.9467883177830081,7.407758433730621,0.00023116026922974682,0.9922113172481238,0.6737035387502214,0.1275918150639827
protein,0.9017416168338216,5267.47077332359,12099.159942241187,16476.381991862436,0.31969826724854733,0.7343335416851147,5.221846752504015,0.00013940913453265843,0.9475194023967406,0.3343463963684195,0.10447348957331881
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0582592596179443,4600.706523680978,16418.26871288755,19791.48660434179,0.23245886555442935,0.8295621769658156,5.734233433540235,0.00018031190920260904,0.9726062285555997,0.45847444822785666,0.12485364507608138
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1022037637540978,2896.975151011503,33494.98385476669,33932.92395836939,0.08537357860954325,0.9870939473374003,7.527384887734946,0.0003407326248527704,0.996349011178011,0.7682239602111379,0.08050828844940269
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1235469618515428,5425.106745667066,7670.616938133603,11393.157167699212,0.4761723783682902,0.6732652613518404,4.44918701872826,0.00012410175373776103,0.8793519580231148,0.18181346389999495,0.23338256624187637
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.8372188146267387,5144.627706505911,12581.031807962161,16997.245207717056,0.30267420653378335,0.7401806383454506,5.289293154573277,0.0001438744804428542,0.9530940796684998,0.3571222352891795,0.08770633228705574
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0925519899314255,5432.302558533652,8487.75053629856,11922.135367812703,0.4556484548229291,0.7119320721029329,4.563039817269038,0.0001310553056336217,0.8901598090328933,0.18941874786760132,0.19228685891596284
protein,1.3472623769049619,5148.518217721369,7565.2023255328695,9892.472157859569,0.520448087754371,0.7647433528051243,4.267792800202833,0.00014853659256227404,0.853893311809396,0.13212918496343518,0.34062822200924764
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1824337478475642,2884.4828652833903,38841.942538596326,39101.487524061355,0.07376913380874334,0.9933622733583903,8.069939823154064,0.00034438140899158923,0.9972753455776934,0.7973725063340433,0.0901303838173144
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.038986714348343,2085.0252730917637,36125.86587753146,37070.317159859005,0.05624514255166664,0.9745227083368407,7.788124838371545,0.0004673913169847468,0.9984169890077704,0.8411970966997487,0.07056628411375025
protein,0.7992231447741406,5760.496419758623,12777.322355525108,17771.147466551054,0.3241488165354015,0.7189925343636167,5.408745612034089,0.0001248143357745102,0.9460061018506692,0.33137082002919616,0.08355689837938705
protein,0.8142066793159637,5380.980728200714,13214.751742654544,17929.429551749832,0.30012001846849357,0.7370425090498679,5.424824456901393,0.00013697178010453853,0.9539014490577478,0.3613851866761493,0.07745728547003974
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9763873029304242,5132.816125671609,8498.507679307668,12468.499795594988,0.41166268675602724,0.6815982530881636,4.582009347690431,0.00013279225992124917,0.911336289375557,0.23752459743184393,0.14744163085827644
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1036458105643892,5696.221012632183,12472.055386378232,16509.893772722888,0.3450186349498684,0.7554291722327225,5.285884879664195,0.00013261935773865697,0.9385958350308877,0.29794651707796843,0.16092152601105297
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9796565960976701,4557.077941922232,9427.672466492764,13053.970212859203,0.3490951693327097,0.7222072911738188,4.675082310339896,0.0001584803464803551,0.9370872759506272,0.29837515125890296,0.1511162526409146
protein,0.9996941983371654,5078.259955114584,8630.981265987233,12563.83444752311,0.4041966627565468,0.6869703116542405,4.6084157331128885,0.00013527671244209475,0.9146721039894408,0.24373778177063335,0.1615780061417061
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.821752458465995,5980.895576872771,10056.0890816542,15315.296542809814,0.39051777810209404,0.6566042683891293,5.026019701139082,0.00010978360346703257,0.9205953861421442,0.2673491627751927,0.09469421184122381
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.2527803427642537,2774.53357056072,25802.16905782687,26581.37626048863,0.10437885320049706,0.9706859722000175,6.666443145292487,0.0003498555513977243,0.9945376086426039,0.7215619170212866,0.12419121202357264
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.3865642927952626,5287.134702365932,8278.64260113558,10798.583667439338,0.48961371835346135,0.7666415204151203,4.437861097192994,0.00014500132180707577,0.8719394513382781,0.15388676834847226,0.34803623497096525
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9677574850859954,5863.4527796293305,11721.871725488338,16371.722313614866,0.3581451399742611,0.7159828087079346,5.230636866640549,0.00012210941839514513,0.9336659245751753,0.28855892604672384,0.12286684025551378
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9085742220270175,5416.251545799942,11792.22983305448,15984.706596082891,0.3388395972890246,0.7377195047135996,5.167276099078089,0.0001362048085240184,0.9408441567597748,0.30844816722673224,0.11623919344038218
protein,0.8399393867007143,5837.259126784509,11881.934064834732,16921.634062621673,0.34495835952855614,0.7021741529726627,5.278752646979665,0.00012029175640853549,0.9386179894884646,0.30800342389141505,0.08616558315188586
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.2382954690624366,3949.190246988359,37728.63907091785,38852.141526831765,0.1016466555456409,0.9710826118777003,8.055052673425926,0.00024589410768910034,0.9948205654369968,0.7279881852772929,0.10788758044247275
protein,1.2042183629469987,5523.489892825435,7950.07949780218,11549.49815825307,0.4782450126526446,0.688348479636857,4.490140058259357,0.00012462202212607751,0.8782264559171922,0.1761769002075234,0.2603928028439874
protein,0,0,0,0,0,0,0,0,0,0,0
